entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2022-05-10 11:00:00-04:00,2022-05-10 13:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,298.97,300.46485,-0.49999999999999506,-0.539796019999994,10,bias_change,stop_loss,2.0,127429.083963335
2022-05-10 13:30:00-04:00,2022-05-10 13:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,300.8486,302.35284299999995,-0.49999999999999145,-0.539796019999983,1,stop_reentry,stop_loss,2.0,126741.22683977848
2022-05-10 13:45:00-04:00,2022-05-10 15:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,303.48,301.9626,-0.500000000000003,-0.539796019999994,7,bias_change,stop_loss,2.0,126057.08274159819
2022-05-10 15:30:00-04:00,2022-05-10 15:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,302.06,300.5497,-0.5000000000000098,-0.5397960200000163,1,stop_reentry,stop_loss,2.0,125376.63162603091
2022-05-11 11:15:00-04:00,2022-05-11 11:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,299.83,301.32914999999997,-0.49999999999999534,-0.539796019999994,2,bias_change,stop_loss,2.0,124699.85355850354
2022-05-11 12:15:00-04:00,2022-05-11 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,298.61,291.83,2.2705200763537823,2.229615959144038,15,bias_change,session_close,2.0,127480.18139447318
2022-05-12 11:15:00-04:00,2022-05-12 11:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,294.15,292.67924999999997,-0.5000000000000033,-0.5397960200000052,2,bias_change,stop_loss,2.0,126792.04844901703
2022-05-12 12:00:00-04:00,2022-05-12 12:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,288.78,290.22389999999996,-0.4999999999999949,-0.5397960199999718,2,bias_change,stop_loss,2.0,126107.6300178128
2022-05-12 12:30:00-04:00,2022-05-12 12:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,290.185,291.635925,-0.49999999999999445,-0.539796019999983,1,stop_reentry,stop_loss,2.0,125426.90605006034
2022-05-12 13:30:00-04:00,2022-05-12 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,288.9653,288.84,0.04336160777783297,0.003348264869185158,9,bias_change,reverse_open,2.0,125431.10567509211
2022-05-12 15:45:00-04:00,2022-05-12 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,288.84,291.25,0.8343719706411943,0.7940422552278337,1,bias_change,session_close,2.0,126427.08165535181
2022-05-13 14:45:00-04:00,2022-05-13 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,299.61,301.9,0.7643269583792142,0.7240252581689477,5,bias_change,session_close,2.0,127342.44565970244
