timeframe_min,timeframe_label,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bar_count
3,3m,2.0,1.0,164088.15617678707,64.08815617678707,10.543625844307037,18.701529988035006,0.7115422027594178,1.0561427593722865,5548,2340,42.177361211247295,2702,2846,1245,0.01005713969753921,25.078406633020908,75.23521989906273,84.91813407476057,5077,5764,161850
5,5m,2.0,4.0,164050.58980123416,64.05058980123417,10.538502817711692,18.313835196533155,0.7166128262360406,1.0794552500912014,3247,1378,42.43917462272867,1596,1651,1245,0.01716281951697581,23.508777332922698,117.5438866646135,77.45340335701782,2932,3500,97110
3,3m,1.0,3.0,163976.67128336796,63.97667128336797,10.528419620201923,18.184125946559714,0.7066720389040484,1.061152522711778,5154,2158,41.87039192859915,2532,2622,1245,0.010838938197495117,27.57217694994179,82.71653084982538,87.02564102564102,5077,5764,161850
15,15m,1.5,1.0,163922.75283668385,63.92275283668385,10.521062338027253,16.34188414039879,0.9025808809315911,1.1276458602852772,1515,751,49.57095709570957,718,797,1245,0.03505924876686048,10.67986798679868,160.1980198019802,46.65430954587581,984,1195,32370
5,5m,0.5,0.5,163110.86634030586,63.11086634030585,10.410044738822698,13.435258460289113,0.8646503839933567,1.0642628978510236,4454,2055,46.138302649303995,2085,2369,1245,0.011843848053407916,12.62730130220027,63.13650651100134,54.536093090309954,2932,3500,97110
5,5m,1.5,2.0,163072.2627923564,63.072262792356405,10.404755111245345,18.64713027699517,0.7108658511852441,1.077593989114695,3288,1396,42.45742092457421,1612,1676,1245,0.01666510779142534,23.103710462287104,115.51855231143551,77.01678508907425,2932,3500,97110
3,3m,0.75,1.5,161752.33615570606,61.752336155706054,10.223289189346453,17.510801602655235,0.6973017621095717,1.0575105447459985,5312,2209,41.58509036144578,2600,2712,1245,0.01023753439355851,26.229668674698797,78.68900602409639,85.10410874266296,5077,5764,161850
3,3m,1.5,4.0,161369.62133953877,61.36962133953878,10.170452031844789,16.98961339565318,0.681187238818679,1.0594869215496714,5141,2156,41.93736627115347,2526,2615,1245,0.010558800662335666,27.780781949037152,83.34234584711146,87.50447945628669,5077,5764,161850
15,15m,0.75,1.0,161137.7037145439,61.1377037145439,10.138385104262237,15.153747488874359,0.925659001111862,1.1257870057471036,1541,733,47.566515249837764,724,817,1245,0.0330284412660744,9.807268007787151,147.10902011680727,42.7062094531974,984,1195,32370
3,3m,1.5,1.0,160737.21381773413,60.737213817734116,10.082923149528789,19.73811875292145,0.6837657792791701,1.0539937467410485,5548,2339,42.159336697909154,2702,2846,1245,0.009682663342527717,25.076784426820478,75.23035328046143,84.90886623416743,5077,5764,161850
