entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2021-08-26 10:00:00-04:00,2021-08-26 15:30:00-04:00,active,long,373.91,372.4,-0.403840496376146,-0.4436749763312209,12,bullish_fvg_active,session_close,2.0,91182.36892315143
2021-08-27 10:00:00-04:00,2021-08-27 15:30:00-04:00,active,long,373.22,376.09,0.76898344140184,0.7286798787846216,12,bullish_fvg_active,session_close,2.0,91846.7964984936
2021-08-30 10:00:00-04:00,2021-08-30 15:30:00-04:00,active,long,378.65,380.32,0.44104053875611143,0.40086814018223116,12,bullish_fvg_active,session_close,2.0,92214.98104343408
2021-08-31 10:00:00-04:00,2021-08-31 10:30:00-04:00,active,long,378.525,379.1001,0.15193184069744942,0.11187507403844776,1,bullish_fvg_active,reverse_open,2.0,92318.14662175096
2021-08-31 10:30:00-04:00,2021-08-31 11:00:00-04:00,active,short,379.1001,379.33,-0.06064361365243281,-0.10061535863271631,1,bearish_fvg_active,reverse_open,2.0,92225.2603874444
2021-08-31 11:00:00-04:00,2021-08-31 15:30:00-04:00,active,long,379.33,379.9,0.15026494081670133,0.11020884085097826,10,bullish_fvg_active,session_close,2.0,92326.9007778892
2021-09-01 10:00:00-04:00,2021-09-01 15:30:00-04:00,active,long,382.04,380.59,-0.3795414092765274,-0.41938560789446244,12,bullish_fvg_active,session_close,2.0,91939.69504381173
2021-09-02 10:00:00-04:00,2021-09-02 15:30:00-04:00,active,long,381.54,380.42,-0.293547203438697,-0.33342579629919156,12,bullish_fvg_active,session_close,2.0,91633.14438349685
2021-09-03 10:00:00-04:00,2021-09-03 15:30:00-04:00,active,long,381.28,381.59,0.08130507763323602,0.04127655885437509,12,bullish_fvg_active,session_close,2.0,91670.96739226843
2021-09-07 10:00:00-04:00,2021-09-07 15:30:00-04:00,active,long,381.34,382.12,0.2045418786384931,0.164464070068715,12,bullish_fvg_active,session_close,2.0,91821.73319631313
2021-09-08 10:00:00-04:00,2021-09-08 11:30:00-04:00,active,long,381.17,379.89,-0.33580816958313336,-0.37566985974762934,3,bullish_fvg_active,reverse_open,2.0,91476.7866199967
2021-09-08 11:30:00-04:00,2021-09-08 12:30:00-04:00,active,short,379.89,380.29,-0.10529363763195508,-0.14524752438864752,2,bearish_fvg_active,reverse_open,2.0,91343.91885204086
2021-09-08 12:30:00-04:00,2021-09-08 15:30:00-04:00,active,long,380.29,380.83,0.14199689710483146,0.10194410402588616,7,bullish_fvg_active,session_close,2.0,91437.0385916967
2021-09-09 10:00:00-04:00,2021-09-09 15:30:00-04:00,active,long,381.74,379.43,-0.6051239063236764,-0.6448778809660993,12,bullish_fvg_active,session_close,2.0,90847.38135480841
2021-09-10 10:00:00-04:00,2021-09-10 15:30:00-04:00,active,long,381.68,376.51,-1.3545378327394717,-1.3939920717878973,12,bullish_fvg_active,session_close,2.0,89580.97606129547
