variant,selector,persistence,timeframe_min,timeframe_label,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bullish_event_count,bearish_event_count,bar_count
active_uncontested_carry,uncontested,carry,60,60m,0.0,1.0,0.75,86045.51972650649,-13.954480273493509,-2.99628407288125,20.766248016021205,-0.43756140426926826,0.9144680389893155,682,366,53.665689149560116,573,109,1245,-0.020476385198962103,4.521994134897361,271.3196480938417,27.56167527251865,3211,233,268,328,8715
active_latest_session_reset,latest,session_reset,60,60m,0.0,0.25,0.25,86044.24999293123,-13.955750007068769,-2.9965738115482976,15.927440666449677,-0.7802066146431432,0.8955907337730135,1129,535,47.38706820194863,558,571,1245,-0.013022646808375504,1.2657218777679362,75.94331266607617,3.4652897303499715,966,768,268,328,8715
event_baseline,event,na,2,2m,0.0,0.75,0.5,85940.17925532373,-14.059820744676266,-3.02033316526652,35.55837666478332,-0.12804967777641268,0.9933308272885255,9380,3969,42.3134328358209,4565,4815,1245,-0.0009899452240631338,21.144669509594884,42.28933901918977,80.19894964473278,7689,8549,7689,8549,242775
active_dominant_width_carry,dominant_width,carry,3,3m,0.0,0.75,0.75,85856.53481821937,-14.143465181780634,-3.0394458333774854,27.364351083265316,-0.09065663111340726,0.9919890165696251,3631,1825,50.261635912971634,2679,952,1245,-0.002264668961410061,44.22996419719086,132.68989259157257,97.07321594068581,138566,23278,5077,5764,161850
active_uncontested_carry,uncontested,carry,60,60m,0.0,0.5,1.0,85792.270840561,-14.207729159438998,-3.0541401773110044,18.278219542639363,-0.5051380122193314,0.9196529761170975,834,386,46.28297362110312,707,127,1245,-0.017225020940547012,3.63189448441247,217.9136690647482,25.186460126219163,3211,233,268,328,8715
active_dominant_width_carry,dominant_width,carry,1,1m,0.0,0.75,1.0,85779.29014284101,-14.220709857158987,-3.057109357376042,34.40856567527702,-0.08292310484446413,0.991898640204782,3212,1511,47.04234122042341,2597,615,1245,-0.0024458323500215753,150.76992528019926,150.76992528019926,99.11317063124292,439429,45839,15551,17074,485550
active_uncontested_carry,uncontested,carry,15,15m,0.0,0.25,0.5,85732.24566338748,-14.267754336612516,-3.0678732258208163,18.620663277521775,-0.5010846138026525,0.9473118180852623,1848,689,37.28354978354979,1594,254,1245,-0.007829173721924638,6.0438311688311686,90.65746753246754,28.795180722891565,10951,451,984,1195,32370
active_dominant_width_carry,dominant_width,carry,3,3m,0.0,0.25,4.0,85725.00147502484,-14.274998524975157,-3.0695311287564975,30.9705154951743,-0.09321891783876883,0.9903934794076874,4783,1155,24.148024252561154,3773,1010,1245,-0.0017623303577303435,33.57704369642484,100.73113108927451,96.33734939759037,138566,23278,5077,5764,161850
active_uncontested_carry,uncontested,carry,10,10m,0.0,1.0,1.0,85712.65370044137,-14.287346299558635,-3.0723572945943856,20.455270922911197,-0.43679652816452214,0.9099244739227462,583,295,50.60034305317325,507,76,1245,-0.024455890687100173,27.912521440823326,279.12521440823326,32.324168468746784,14692,648,1442,1702,48555
active_uncontested_carry,uncontested,carry,15,15m,0.0,0.75,0.25,85707.33344582982,-14.292666554170186,-3.0735750976692566,21.119484899716944,-0.4321620054766052,0.943066564125241,1543,1026,66.49384316267012,1314,229,1245,-0.009271960809964414,7.338950097213221,110.08425145819831,30.222428174235404,10951,451,984,1195,32370
active_uncontested_carry,uncontested,carry,15,15m,0.0,1.5,0.25,85651.48374018972,-14.348516259810273,-3.086362701625378,24.333150554201744,-0.3801691674214333,0.9316817161554041,1227,842,68.62265688671557,1063,164,1245,-0.011599395497310106,9.669926650366747,145.04889975550122,32.876119864071676,10951,451,984,1195,32370
active_latest_session_reset,latest,session_reset,1,1m,0.0,1.0,0.25,85591.26967833316,-14.408730321666841,-3.1001570410721824,41.78901967080848,-0.11391130971715274,0.9966034066102293,29933,12805,42.77887281595563,15540,14393,1245,-0.00029685570048415305,15.316673905054621,15.316673905054621,92.16393780249203,249289,129387,15551,17074,485550
active_latest_carry,latest,carry,60,60m,0.0,0.25,0.5,85583.25153580934,-14.416748464190665,-3.101994487944204,18.913382910956543,-0.2865224031359269,0.9790177660297231,4338,1638,37.75933609958506,2861,1477,1245,-0.003081045255228394,1.7051636698939603,102.30982019363762,35.926563396442916,6427,2204,268,328,8715
active_uncontested_carry,uncontested,carry,15,15m,0.0,2.0,0.5,85568.39857621245,-14.431601423787555,-3.1053985722274358,26.988838313701702,-0.3828457646425366,0.9231056710316434,768,449,58.463541666666664,680,88,1245,-0.018449807088768748,15.876302083333334,238.14453125,35.30738337967254,10951,451,984,1195,32370
active_dominant_count_carry,dominant_count,carry,60,60m,0.0,1.5,4.0,85500.75540385566,-14.499244596144345,-3.1209073755776306,24.742482621497274,-0.14977510099135904,0.9737753021593586,1333,692,51.91297824456114,993,340,1245,-0.008307968458203151,5.502625656414104,330.15753938484625,68.9271371199082,6482,2023,268,328,8715
active_dominant_width_carry,dominant_width,carry,3,3m,0.0,0.5,4.0,85476.37555094706,-14.52362444905293,-3.12649943492489,32.71414371094158,-0.08173642095161456,0.9892547372609111,2827,1038,36.71736823487796,2226,601,1245,-0.0029849448046696727,56.80898478952954,170.4269543685886,97.56564720420143,138566,23278,5077,5764,161850
