timeframe_minutes,family,domcycle,leveling,entry_buffer,exit_ratio,final_equity,total_return_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_rate_pct,avg_trade_return_pct,avg_win_pct,avg_loss_pct,avg_holding_bars,long_trade_count,short_trade_count,long_avg_trade_return_pct,short_avg_trade_return_pct,positive_days_pct,positive_years,worst_year_return_pct,best_year_return_pct,avg_low_band,avg_high_band,avg_band_width,avg_long_entry_level,avg_long_exit_level,avg_short_entry_level,avg_short_exit_level,rank_in_timeframe
1,mean_reversion,30,10.0,2.0,1.0,495.98057756393536,-98.01607768974426,98.10656232645667,-5.556473872243393,0.7022354623508636,9866,49.695925400364885,-0.03911244975052767,0.18561113192052564,-0.26111924421621235,40.971112913034666,4980,4886,-0.034943071351664225,-0.04336204132365715,34.53815261044177,0,-70.00495396619779,-13.508173152132452,39.42890135198476,62.00010769752191,22.571206345541007,37.42890135198528,62.00010769752191,64.00010769752323,39.42890135198476,44
1,mean_reversion,30,5.0,2.0,0.5,494.8325542370795,-98.02066978305169,98.10157427312355,-7.891478709641117,0.607927707478913,10271,49.557005160159676,-0.037851961424026324,0.11843201577237113,-0.19139093921396727,21.28945574919677,5209,5062,-0.03635585628764407,-0.03939151331169712,28.835341365461847,0,-59.82232317126608,-13.921749537611342,36.95810552003781,64.25046974918932,27.292364229146905,34.95810552003681,50.604287634618814,66.25046974918902,50.604287634618814,45
1,breakout,30,5.0,4.0,0.0,482.9094577596039,-98.06836216896158,98.07223424562646,-13.708053826165651,0.40576568998260454,9416,24.37340696686491,-0.04182321953494627,0.11717064480914971,-0.09306474722343192,5.637638062871708,4534,4882,-0.04104712122676263,-0.04254399580067264,15.582329317269075,0,-56.51594046356699,-13.035582089419961,36.95810552003781,64.25046974918932,27.292364229146905,68.25046974918806,64.25046974918932,32.95810552003687,36.95810552003781,46
1,mean_reversion,30,15.0,4.0,1.0,482.0610058409296,-98.07175597663628,98.16177616594419,-5.980918394898894,0.6853569959202948,9863,49.73131907127649,-0.039464951551562426,0.1728543708781988,-0.24951462410460695,36.705769035790325,4993,4870,-0.0377468804452999,-0.04122641541881904,34.29718875502008,0,-69.01890076243862,-12.016340021470842,41.396302623622375,60.142093794276335,18.745791170651604,37.396302623621864,60.142093794276335,64.1420937942751,41.396302623622375,47
1,mean_reversion,40,5.0,2.0,0.0,475.34561687143406,-98.09861753251427,98.11902396010841,-13.571613814713876,0.40512611679412625,10534,38.266565407252706,-0.03750516831191163,0.06674780268089513,-0.10212822322072446,6.559711410670211,5395,5139,-0.03774268340506459,-0.037255821371341764,15.020080321285139,0,-59.11600556319665,-11.361268521799053,38.47186400302694,62.69745889589589,24.22559489287367,36.471864003028664,38.47186400302694,64.69745889589782,62.69745889589589,48
1,mean_reversion,40,20.0,4.0,0.5,473.12777459551205,-98.10748890161796,98.16559960132788,-6.8364498828072735,0.6265209173255927,9925,50.79093198992444,-0.03958051777310991,0.13072678507342433,-0.21536248207478867,26.106297229219145,5046,4879,-0.040525629786683406,-0.038603056157919285,31.00401606425703,0,-60.82265270819245,-14.476994366540517,44.01363524720975,57.560357286003864,13.546722038792732,40.01363524721151,50.78699626660669,61.56035728600454,50.78699626660669,49
1,breakout,40,20.0,2.0,1.0,462.2127219885562,-98.15114911204577,98.15842616281283,-5.095700789619515,0.712065107366234,9933,34.01792006443169,-0.03959087324313188,0.2878145417252039,-0.20838899609605058,41.05436424041075,4915,5018,-0.036195294215952634,-0.0429167542551994,32.28915662650602,0,-61.64405413317111,-12.26767360425551,44.01363524720975,57.560357286003864,13.546722038792732,59.5603572860034,44.01363524720975,42.01363524721005,57.560357286003864,50
1,breakout,40,10.0,4.0,0.0,456.8374601743041,-98.17265015930279,98.18451158195145,-11.360268286947075,0.4707203650099947,9152,26.409527972027973,-0.04359204509287431,0.14679944341293844,-0.1119181368105511,9.12423513986014,4417,4735,-0.04449902192660369,-0.04274598032526843,19.196787148594378,0,-61.58852157754608,-13.829986115036688,40.70680563833108,60.646295406476774,19.939489768152118,64.64629540647671,60.646295406476774,36.70680563832919,40.70680563833108,51
1,breakout,30,15.0,4.0,1.0,436.30934678740385,-98.25476261285039,98.26157636994375,-5.714615037922247,0.6934170090165427,9863,35.10088208455845,-0.040535048448440095,0.2611915361213939,-0.20372477439450812,36.705769035790325,4870,4993,-0.03877358458117787,-0.04225311955469621,31.00401606425703,0,-64.37441702499818,-14.29012962160106,41.396302623622375,60.142093794276335,18.745791170651604,64.1420937942751,41.396302623622375,37.396302623621864,60.142093794276335,52
1,breakout,40,20.0,4.0,0.5,435.61686526232666,-98.2575325389507,98.26383205783395,-6.410313478518977,0.6490676995081912,9925,30.831234256926955,-0.04041948222689228,0.24247473241998116,-0.16651653930182972,26.106297229219145,4879,5046,-0.04139694384207808,-0.039474370213312626,28.99598393574297,0,-62.32464485986714,-12.309878218038842,44.01363524720975,57.560357286003864,13.546722038792732,61.56035728600454,50.78699626660669,40.01363524721151,50.78699626660669,53
